author_id,book,count
clement_rome,Ps,28
clement_rome,Gen,17
clement_rome,Heb,15
clement_rome,Isa,11
clement_rome,Job,10
clement_rome,1Cor,8
clement_rome,Prov,7
clement_rome,Exod,7
clement_rome,Num,6
clement_rome,Jas,6
clement_rome,Rom,6
clement_rome,Matt,6
clement_rome,1Pet,5
clement_rome,Phil,3
clement_rome,Eph,3
clement_rome,Titus,3
clement_rome,Deut,3
clement_rome,Wis,3
clement_rome,2Pet,3
clement_rome,Luke,3
clement_rome,Dan,3
clement_rome,2Cor,2
clement_rome,Ezek,2
clement_rome,2Chr,2
clement_rome,Jdt,2
clement_rome,Mark,2
clement_rome,3John,1
clement_rome,Acts,1
clement_rome,1Kgs,1
clement_rome,Jonah,1
clement_rome,Josh,1
clement_rome,Jer,1
clement_rome,1Thess,1
clement_rome,1Tim,1
clement_rome,Hab,1
clement_rome,Mal,1
clement_rome,Col,1
clement_rome,Rev,1
clement_rome,Esth,1
clement_rome,2Tim,1
ignatius,Isa,49
ignatius,John,45
ignatius,Matt,39
ignatius,1Cor,39
ignatius,Ps,36
ignatius,Gen,22
ignatius,Prov,20
ignatius,Eph,18
ignatius,Luke,17
ignatius,Rom,17
ignatius,1Tim,16
ignatius,Jer,15
ignatius,Deut,14
ignatius,2Cor,12
ignatius,Gal,12
ignatius,2Tim,11
ignatius,Phil,11
ignatius,Acts,11
ignatius,Exod,10
ignatius,1Pet,8
ignatius,Num,8
ignatius,Col,7
ignatius,Heb,6
ignatius,Jas,5
ignatius,1Sam,5
ignatius,Dan,5
ignatius,Zech,5
ignatius,Ezek,5
ignatius,Job,4
ignatius,Titus,4
ignatius,1John,3
ignatius,2Sam,3
ignatius,Mark,3
ignatius,Rev,2
ignatius,Song,2
ignatius,1Thess,2
ignatius,2Pet,2
ignatius,Hab,2
ignatius,Mal,2
ignatius,Lev,2
ignatius,Phlm,1
ignatius,1Kgs,1
ignatius,2Kgs,1
ignatius,Sus,1
ignatius,2Chr,1
ignatius,2Thess,1
ignatius,1Chr,1
ignatius,Hos,1
ignatius,2John,1
ignatius,Eccl,1
ignatius,Sir,1
ignatius,Wis,1
ignatius,Zeph,1
ignatius,Hag,1
irenaeus,Matt,221
irenaeus,Luke,146
irenaeus,Isa,115
irenaeus,John,111
irenaeus,1Cor,94
irenaeus,Ps,92
irenaeus,Rom,80
irenaeus,Gen,78
irenaeus,Acts,57
irenaeus,Exod,53
irenaeus,Rev,38
irenaeus,Jer,36
irenaeus,Eph,33
irenaeus,Deut,30
irenaeus,Gal,29
irenaeus,Dan,22
irenaeus,Num,21
irenaeus,2Cor,20
irenaeus,Mark,19
irenaeus,Col,19
irenaeus,1Pet,16
irenaeus,Phil,13
irenaeus,Prov,12
irenaeus,1Tim,11
irenaeus,1Kgs,11
irenaeus,2Thess,10
irenaeus,Hos,8
irenaeus,Ezek,8
irenaeus,2Tim,7
irenaeus,Heb,7
irenaeus,Judg,7
irenaeus,1Sam,6
irenaeus,Mal,6
irenaeus,1John,6
irenaeus,Zech,6
irenaeus,Jonah,5
irenaeus,Josh,4
irenaeus,Amos,4
irenaeus,Hab,4
irenaeus,2Kgs,4
irenaeus,Titus,3
irenaeus,1Thess,3
irenaeus,Joel,3
irenaeus,2Sam,3
irenaeus,Jas,3
irenaeus,Lev,3
irenaeus,2John,2
irenaeus,Mic,2
irenaeus,2Pet,2
irenaeus,Jude,2
irenaeus,Bar,2
irenaeus,Song,1
irenaeus,Wis,1
irenaeus,Lam,1
irenaeus,Sir,1
irenaeus,Sus,1
justin_martyr,Isa,101
justin_martyr,Ps,52
justin_martyr,Matt,48
justin_martyr,Gen,47
justin_martyr,Luke,22
justin_martyr,Deut,17
justin_martyr,Jer,14
justin_martyr,Exod,14
justin_martyr,Zech,12
justin_martyr,Ezek,12
justin_martyr,John,8
justin_martyr,Num,7
justin_martyr,Acts,5
justin_martyr,1Cor,4
justin_martyr,Josh,4
justin_martyr,Rom,4
justin_martyr,Mark,3
justin_martyr,Mic,3
justin_martyr,Hos,3
justin_martyr,Mal,3
justin_martyr,Prov,3
justin_martyr,1Sam,3
justin_martyr,2Thess,2
justin_martyr,Dan,2
justin_martyr,Lev,2
justin_martyr,Amos,2
justin_martyr,1Kgs,2
justin_martyr,Rev,2
justin_martyr,2Pet,2
justin_martyr,Gal,2
justin_martyr,Lam,1
justin_martyr,Jas,1
justin_martyr,Phil,1
justin_martyr,Heb,1
justin_martyr,Job,1
justin_martyr,Joel,1
justin_martyr,Jonah,1
justin_martyr,1Pet,1
justin_martyr,2Sam,1
justin_martyr,2Tim,1
mathetes,2Cor,4
mathetes,Rev,3
mathetes,Gal,2
mathetes,1Pet,2
mathetes,Matt,2
mathetes,Rom,2
mathetes,2Tim,1
mathetes,Phil,1
mathetes,John,1
mathetes,Mal,1
mathetes,Acts,1
mathetes,Isa,1
mathetes,1Tim,1
mathetes,1Cor,1
polycarp,1Pet,15
polycarp,Matt,14
polycarp,1Cor,5
polycarp,Phil,4
polycarp,Acts,4
polycarp,Eph,4
polycarp,Rom,4
polycarp,Luke,4
polycarp,Gal,4
polycarp,1Tim,4
polycarp,2Cor,3
polycarp,Ps,2
polycarp,1Thess,2
polycarp,1John,2
polycarp,Mark,2
polycarp,Tob,2
polycarp,2Pet,1
polycarp,2Tim,1
polycarp,Jude,1
polycarp,Isa,1
polycarp,2Thess,1
polycarp,Titus,1
