author_id,book,count
anonymous,2Pet,17
anonymous,Matt,9
anonymous,Luke,8
anonymous,Isa,6
anonymous,Mark,5
anonymous,John,3
anonymous,Rom,3
anonymous,2Cor,2
anonymous,Jude,2
anonymous,Ps,2
anonymous,Acts,1
anonymous,1Cor,1
anonymous,1Pet,1
anonymous,Titus,1
anonymous,Gen,1
anonymous,Lev,1
aristides,Rom,1
aristides,Amos,1
aristides,Acts,1
aristides,2Pet,1
clement_alex,Ps,33
clement_alex,Isa,19
clement_alex,Gen,17
clement_alex,Matt,14
clement_alex,Num,8
clement_alex,Job,8
clement_alex,Prov,7
clement_alex,Exod,6
clement_alex,Jas,6
clement_alex,1Cor,6
clement_alex,Eph,4
clement_alex,Deut,4
clement_alex,Heb,4
clement_alex,1Pet,3
clement_alex,Titus,3
clement_alex,Ezek,3
clement_alex,Luke,3
clement_alex,Rom,3
clement_alex,Dan,3
clement_alex,Wis,2
clement_alex,Jdt,2
clement_alex,2Pet,2
clement_alex,Jer,2
clement_alex,1Tim,2
clement_alex,Phil,1
clement_alex,Acts,1
clement_alex,2Cor,1
clement_alex,1Kgs,1
clement_alex,Jonah,1
clement_alex,Josh,1
clement_alex,Hab,1
clement_alex,Mal,1
clement_alex,1Sam,1
clement_alex,Hos,1
origen,Matt,330
origen,John,144
origen,1Cor,101
origen,Luke,101
origen,Ps,88
origen,Rom,62
origen,Isa,61
origen,Mark,41
origen,Exod,38
origen,2Cor,31
origen,Gen,31
origen,Heb,20
origen,Eph,20
origen,Acts,20
origen,Gal,19
origen,Prov,19
origen,Rev,18
origen,Col,18
origen,1Kgs,17
origen,Deut,17
origen,Jer,16
origen,Phil,15
origen,1Tim,15
origen,Ezek,13
origen,1John,10
origen,2Kgs,9
origen,1Pet,9
origen,Hos,8
origen,2Thess,8
origen,Num,7
origen,Job,6
origen,Mal,6
origen,Josh,6
origen,1Chr,6
origen,Lev,6
origen,Zech,5
origen,1Thess,5
origen,2Tim,4
origen,Eccl,4
origen,Dan,4
origen,Sir,4
origen,Titus,4
origen,2Sam,3
origen,Song,2
origen,Lam,2
origen,Jdt,2
origen,Judg,2
origen,Wis,2
origen,1Sam,2
origen,Jude,2
origen,2Macc,1
origen,Esth,1
origen,2Pet,1
origen,Ezra,1
origen,Joel,1
origen,Amos,1
rutherford_an,1Tim,1
rutherford_an,Rom,1
tatian,Luke,891
tatian,John,857
tatian,Matt,812
tatian,Mark,382
tatian,Ezek,1
